"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ALOX5AP" 5.59990439604237 9.10514917668926 4.44145234306292 0.00432786905055871 0.0655940707655654 -4.58592463479868
"C11orf86" 6.21810342380132 -1.2296420441624 4.41424602946254 0.00445674827945201 0.0655940707655654 -4.58595726379809
"CELA1" 6.21810342380132 -1.2296420441624 4.41424602946254 0.00445674827945201 0.0655940707655654 -4.58595726379809
"LRRC26" 6.21810342380132 -1.2296420441624 4.41424602946254 0.00445674827945201 0.0655940707655654 -4.58595726379809
"HBG1" 6.21810342380132 -0.98692863057728 4.38967067666597 0.00457688457036665 0.0655940707655654 -4.58598709459996
"GPR84" 5.85080043914549 6.15787568574824 4.38768495321393 0.0045867496685597 0.0655940707655654 -4.58598951991596
"UPK2" 5.67252947977222 0.143961858436975 4.38053798251803 0.00462245428459095 0.0655940707655654 -4.58599826766361
"ACVRL1" -5.61848772307863 5.25740529115255 -4.37867613122041 0.0046318068932928 0.0655940707655654 -4.58600055132244
"EIF2AK2" 5.73636837381117 6.69519560079765 4.37642459003583 0.00464314545457878 0.0655940707655654 -4.58600331560689
"LYPD1" 5.52358227842837 0.152813192469773 4.3572897263349 0.00474077624825185 0.0655940707655654 -4.58602692564596
"ARSE" 7.80306592452248 0.525838915476293 4.34763536210865 0.00479090936472598 0.0655940707655654 -4.58603891823882
"CLPS" 6.78685518567629 -0.945266163224918 4.32639258880268 0.00490332976597566 0.0655940707655654 -4.58606549721719
"CLEC6A" 6.21810342380132 -0.805643590884927 4.31745772948857 0.00495149745852601 0.0655940707655654 -4.58607675568009
"IFIT2" 5.79352556128109 8.0100396539465 4.30664210669848 0.00501051675236281 0.0655940707655654 -4.58609044718718
"CLCA3P" 5.42562217344075 -0.040920168621535 4.30656022354741 0.0050109665795564 0.0655940707655654 -4.58609055110794
"EPS8L3" 6.21810342380132 -1.5981248412455 4.29088753779238 0.00509790574657252 0.0655940707655654 -4.58611051547671
"OAS3" 6.1104913848693 8.4308074726837 4.27820623121225 0.00516949149354211 0.0655940707655654 -4.5861267770752
"CACNA1A" 6.46369762204768 3.13304518697533 4.27578432726548 0.00518329103152798 0.0655940707655654 -4.58612989377169
"KCNJ2-AS1" 5.7450187791062 3.26985640855684 4.24827208081723 0.00534298688711529 0.0655940707655654 -4.58616554869131
"IL1RN" 6.26955125106881 10.2133549881001 4.23252862615128 0.00543684918799571 0.0655940707655654 -4.58618616005741
"MRVI1-AS1" 6.21810342380132 -0.660890282287432 4.23124748021737 0.00544456836943592 0.0655940707655654 -4.58618784406351
"TDRD1" 5.79410497052384 -1.01764281752366 4.22919069456068 0.00545698666639697 0.0655940707655654 -4.58619054973611
